구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,1.0,1.0,0.4285714285714286,0.8776801405975396,0.7088807146610614,81.71334431630972,100.0,100.0,44.185303514377,86.22345803842265,570500.0,2780,0.803026456766006,90.65817446760511
강동구,0.13518886679920478,0.47368421052631576,0.2857142857142857,0.35571177504393675,0.3076720966894377,98.25581395348837,100.0,100.0,57.68996960486322,86.82585426101276,453233.0,773,0.3115942469546361,97.40042530861959
강북구,0.2067594433399602,0.3157894736842105,0.5,0.13391915641476276,0.23594324750394108,73.5576923076923,71.42857142857143,100.0,62.6232741617357,93.83116883116884,330192.0,748,0.27848226418857497,88.30849185413605
관악구,0.5467196819085487,0.3157894736842105,0.5,0.4731107205623902,0.4976353126642144,85.22427440633246,85.71428571428571,87.5,58.211217786761,84.58121827411168,525515.0,1496,0.4666510377638728,88.26235995500159
광진구,0.3121272365805169,0.631578947368421,0.3571428571428571,0.5578207381370826,0.23331581713084598,79.6934865900383,61.53846153846154,83.33333333333334,52.61261261261261,88.53681267474371,372164.0,707,0.41839711927194473,80.44952507441364
구로구,0.44532803180914504,0.3684210526315789,0.4285714285714286,0.38383128295254837,0.4122438255386232,55.1829268292683,75.0,100.0,50.3768115942029,82.91475061903077,447874.0,1561,0.4076791243006649,79.9567244097417
금천구,0.2703777335984095,0.21052631578947367,0.2857142857142857,0.17855887521968367,0.16184971098265893,88.33333333333333,100.0,100.0,59.07099035933392,89.43436499466382,255082.0,1015,0.22140538426090228,96.09530158470527
노원구,0.15109343936381708,0.42105263157894735,0.21428571428571427,0.3181019332161687,0.3205465055176037,86.11111111111111,77.77777777777779,100.0,49.21976592977894,85.71428571428571,569384.0,1265,0.28501604479245024,87.73263848167171
도봉구,0.0,0.10526315789473684,0.0,0.0,0.0,100.0,100.0,100.0,65.87677725118483,88.71224165341812,348646.0,485,0.021052631578947368,100.0
동대문구,0.12127236580516898,0.10526315789473684,0.7142857142857143,0.32126537785588755,0.2603783499737257,90.30303030303031,100.0,90.9090909090909,65.74014221073044,93.0635838150289,369496.0,1294,0.3044929931630467,96.794209481382
동작구,0.5805168986083499,0.3157894736842105,0.0,0.2084358523725835,0.11613242249080397,43.686868686868685,100.0,100.0,48.368678629690045,86.23529411764706,412520.0,1091,0.2441749294311896,83.21600956084498
마포구,0.7872763419483101,0.3684210526315789,0.14285714285714285,0.5135325131810193,0.37178139779295843,85.8,100.0,100.0,39.97134670487106,83.1275720164609,389649.0,574,0.4367736896822019,89.94914124996511
서대문구,0.19483101391650098,0.0,0.21428571428571427,0.20984182776801408,0.10982658959537572,89.60396039603961,100.0,100.0,58.455284552845534,83.1145584725537,327163.0,962,0.145757029113121,94.84914625971687
서초구,0.7276341948310139,0.631578947368421,0.5714285714285714,0.41441124780316346,0.30110352075669994,60.21276595744681,53.84615384615385,100.0,46.08167770419426,87.43760399334442,450310.0,1930,0.5292312964375739,76.45987629412575
성동구,0.05566600397614313,0.10526315789473684,0.0,0.15430579964850616,0.0790856542301629,80.3030303030303,100.0,100.0,50.65298507462687,88.38999358563181,311244.0,1062,0.0788641231499098,92.24728084584247
성북구,0.1371769383697813,0.3684210526315789,0.4285714285714286,0.2499121265377856,0.16920651602732523,77.45664739884393,100.0,100.0,52.30654761904761,85.54153522607781,461260.0,1464,0.27065761242757996,91.35828473039346
송파구,0.3658051689860835,0.0,0.3571428571428571,0.5768014059753954,0.4595375722543353,84.02777777777779,100.0,100.0,45.11873350923483,86.23212504156967,667483.0,618,0.3518574008717343,91.37454251083679
양천구,0.6958250497017892,0.3157894736842105,0.9285714285714286,1.0,1.0,82.59911894273128,100.0,92.85714285714286,53.73778033352501,85.34755134281201,479978.0,2034,0.7880371903914856,91.19041073079772
영등포구,0.6978131212723657,0.21052631578947367,1.0,0.5873462214411249,0.5076195480819758,58.681318681318686,100.0,86.66666666666667,48.09027777777778,82.10031347962382,402985.0,904,0.6006610413169879,82.61056932485978
용산구,0.4433399602385686,0.21052631578947367,0.0,0.25061511423550087,0.2950604308985812,88.37920489296636,80.0,100.0,46.50817236255572,84.67030659386813,244203.0,1624,0.23990836423242484,87.89426652059952
은평구,0.2504970178926441,0.15789473684210525,0.3571428571428571,0.2650263620386643,0.26221755123489227,92.6086956521739,100.0,100.0,67.33958183129054,90.86879432624113,494388.0,1873,0.2585557050302326,99.17025116357047
종로구,0.2962226640159046,0.47368421052631576,0.4285714285714286,0.35536028119507906,0.23252758801891743,68.37944664031622,80.0,71.42857142857143,40.024330900243314,85.72095193653756,162820.0,1002,0.3572732344655291,76.01444085436303
중구,0.32405566600397606,0.42105263157894735,0.0,0.4263620386643234,0.21098265895953755,55.80524344569289,100.0,0.0,48.15817984832069,87.53032508491025,133240.0,671,0.27649059904135687,64.12247904300892
중랑구,0.13518886679920478,0.10526315789473684,0.2857142857142857,0.3163444639718805,0.42038885969521805,83.72093023255815,100.0,100.0,53.03326810176125,84.88453463960812,414503.0,660,0.25257992681506514,92.75163179038644
