구,위도,경도
도봉구,37.667199069165044,127.03278382986406
은평구,37.61600184192064,126.92388486168254
동대문구,37.58862488095133,127.05326118159924
동작구,37.49592869817122,126.94319874667816
금천구,37.46640549118321,126.89911181670232
구로구,37.49824594332609,126.86939217118206
종로구,37.59081035058071,126.99644920906223
강북구,37.632046746187775,127.0215254728531
중랑구,37.606870218534695,127.08711952814929
강남구,37.48909545646018,127.07283998849552
강서구,37.560886482642864,126.81414741792146
중구,37.558371750266666,126.99006018214162
강동구,37.551717380107696,127.15385555264618
광진구,37.55189624394916,127.08974321215258
마포구,37.55728785521782,126.91988843257431
관악구,37.47409667026501,126.93583046752502
서초구,37.46566083673712,127.0339660401257
성북구,37.60011928159995,127.02240243094009
노원구,37.63238136613501,127.0821512372282
송파구,37.50039326183675,127.12101213187754
성동구,37.55278841153847,127.03050383263077
서대문구,37.57925155480199,126.94351606661385
양천구,37.52284379192651,126.8702013125735
영등포구,37.523154626882516,126.89233526751012
용산구,37.53836767596737,126.97963765655432
